ID,ID_CLUSTER,QUESTION,ANSWER,CONTEXT,CONTEXT_CLUSTER,SCORE
1.1.1,1.0,Have you seen an unforgettable and beautiful view or scenery?,"Well, one that still stays with me is the misty terraced rice fields in Sapa at sunrise: layers of green hills fade into the clouds like a living painting. I remember standing there early in the morning with the cool mountain air, and the sound of water gently flowing through the paddies; it felt almost magical. That view really left a deep impression and made me appreciate how breathtaking Vietnam’s landscapes can be.",Views,1.0,8.0
2.1.1,1.0,Do you like taking pictures of different views?,"Oh yes, I enjoy capturing different views quite a lot, especially when the light or atmosphere makes an ordinary scene look special. Whether it’s a dramatic sunset over the Saigon River or golden rice fields, snapping photos helps me remember the feeling of the moment. It’s not about perfect shots, but more about preserving that sense of wonder for later.",Views,1.0,8.0
3.1.1,1.0,Do you prefer views in urban areas or rural areas?,"I’d say I prefer rural views overall. The simple for this is that they offer a sense of peace and vastness that’s hard to find in cities. Urban scenes have their own energy with neon lights and bustling streets, but nothing beats the quiet beauty of mountains, sea, or open fields. Still, the contrast between the two makes both special in their own way.",Views,1.0,8.0
4.1.1,1.0,Do you prefer views in your own country or in other countries?,"Actually, I love views in my own country because they feel more personal and connected to my roots: iconic spots like Ha Long Bay or the highlands immediately come to mind. That said, I’m also drawn to foreign landscapes, such as the turquoise waters of the Mediterranean or snowy mountains in Europe, because they bring fresh wonder. In the end, the best views are those that make you pause and feel alive, no matter where they are.",Views,1.0,8.0
5.2.1,2.0,What are your favourite activities?,"Well, my favourite activities these days revolve around a mix of outdoor movement and creative downtime: going for long walks in parks, tending to my balcony plants, and reading or listening to podcasts in the evening. I also love exploring new cafés or street food spots with friends because they combine people-watching, good food, and casual chats in Saigon’s lively atmosphere. Ultimately, these simple pleasures help me stay balanced and recharge after busy days.",Childhood Activities,1.0,8.0
6.2.1,2.0,What were your favourite activities when you were a child?,"Oh, as a kid I was all about outdoor play! Riding bikes through the alleys with friends, playing football or cướp cờ until the streetlights came on, and collecting random things like bottle caps or stickers. We’d also spend hours drawing cartoons or making up games with whatever was lying around the house. Those carefree afternoons felt endless and full of simple joy.",Childhood Activities,1.0,8.0
7.2.1,2.0,Did you prefer to do activities alone or with a group of people when you were a child?,"Actually, I preferred doing activities with a group most of the time; it was way more fun sharing laughs, competing, and inventing rules together in the neighbourhood. Playing solo only happened when I was reading comics or drawing quietly at home, which I enjoyed too but not as often. Looking back, the group energy really fuelled my happiest childhood memories.",Childhood Activities,1.0,8.0
8.2.1,2.0,Are there any differences between the activities you liked when you were a child and those you like now?,"Yes, quite a few: the childhood ones were mostly high-energy, physical group play outdoors, while now I lean toward calmer, more mindful activities like walking, reading, or plant care that fit a busier adult schedule. I still enjoy some social elements, but they’ve become more intentional rather than spontaneous street games. In the end, both stages bring happiness, just in different, more mature forms that match where I am in life.",Childhood Activities,1.0,8.0
9.3.1,3.0,Are there tall buildings near your home?,"Well, yes, quite a few. Living in Ho Chi Minh City means I’m surrounded by modern high-rises popping up everywhere, from sleek office towers to new apartment blocks just a few streets away. They’ve completely changed the skyline over the last decade, turning quiet neighbourhoods into mini city centres with rooftop bars and constant construction noise. In the end, it’s a mixed bag: convenient for everything, but sometimes I miss the lower, greener feel of older areas.",Building,1.0,8.0
10.3.1,3.0,Do you take photos of buildings?,"Oh, occasionally, especially when the light hits them just right or there’s some interesting architecture that stands out. I love snapping striking contrasts, like an old colonial villa next to a gleaming glass skyscraper, because they tell the story of the city’s rapid change. Honestly, it’s not my main focus when taking pictures, but those shots often end up as nice reminders of how dynamic Saigon feels.",Building,1.0,8.0
11.3.1,3.0,Is there a building that you would like to visit?,"Absolutely! The Landmark 81 skyscraper here in Ho Chi Minh City has been on my list for ages because of that sky deck with panoramic views across the whole city. I’ve heard the observation floor at sunset is breathtaking, and it would be cool to see the architecture up close after admiring it from afar so many times. I think going there would give me a fresh perspective on how far the city has come.",Building,1.0,8.0
12.3.1,3.0,Do you want to live in a tall building?,"It depends, but honestly I’d be quite happy to; Living high up with a view over the city lights and better breeze sounds pretty appealing compared to ground-floor humidity and noise. Of course, I’d want good facilities like a gym or garden area so it doesn’t feel too isolated. All in all, it seems like a modern, convenient lifestyle that fits well with the pace of life here.",Building,1.0,8.0
